velocity [mm/s]	effect [%]	deffect [%]	
1.6361	-0.35757	0.11721	-0.43237
1.7159	-0.30987	0.11724	-0.42311
1.7957	-0.37287	0.1172	-0.41454
1.8755	-0.40803	0.11718	-0.4069
1.9553	-0.47669	0.11714	-0.40038
2.0351	-0.52867	0.11711	-0.39512
2.1149	-0.46594	0.11714	-0.39123
2.1947	-0.39714	0.11718	-0.38877
2.2745	-0.44498	0.11716	-0.38781
2.3543	-0.4771	0.11714	-0.38839
2.4342	-0.48317	0.11713	-0.39055
2.514	-0.43905	0.11716	-0.39433
2.5938	-0.33841	0.11722	-0.39978
2.6736	-0.34999	0.11721	-0.40693
2.7534	-0.46869	0.11714	-0.41585
2.8332	-0.5124	0.11712	-0.4266
2.913	-0.39135	0.11719	-0.43923
2.9928	-0.34764	0.11721	-0.45382
3.0726	-0.46249	0.11715	-0.47042
3.1524	-0.4163	0.11717	-0.48909
3.2322	-0.46249	0.11715	-0.50985
3.312	-0.52784	0.11711	-0.53272
3.3918	-0.60477	0.11706	-0.55764
3.4717	-0.69245	0.11701	-0.5845
3.5515	-0.64199	0.11704	-0.61311
3.6313	-0.7669	0.11697	-0.64314
3.7111	-0.78896	0.11695	-0.67413
3.7909	-0.74622	0.11698	-0.7055
3.8707	-0.76194	0.11697	-0.73644
3.9505	-0.73878	0.11698	-0.76605
4.0303	-0.64792	0.11704	-0.79326
4.1101	-0.76787	0.11697	-0.81696
4.1899	-0.81998	0.11694	-0.83609
4.2697	-0.82784	0.11693	-0.84972
4.3495	-0.9158	0.11688	-0.85718
4.4294	-0.83225	0.11693	-0.85814
4.5092	-0.80689	0.11694	-0.85268
4.589	-0.86838	0.11691	-0.84125
4.6688	-0.7232	0.11699	-0.82462
4.7486	-0.76015	0.11697	-0.80381
4.8284	-0.79089	0.11695	-0.77993
4.9082	-0.65785	0.11703	-0.75411
4.988	-0.80344	0.11695	-0.72739
5.0678	-0.634	0.11704	-0.70069
5.1476	-0.57265	0.11708	-0.67478
5.2274	-0.64627	0.11704	-0.65024
5.3072	-0.46221	0.11715	-0.62752
5.3871	-0.58864	0.11707	-0.60695
5.4669	-0.64806	0.11704	-0.58873
5.5467	-0.57733	0.11708	-0.573
5.6265	-0.53197	0.1171	-0.55985
5.7063	-0.54245	0.1171	-0.54931
5.7861	-0.49172	0.11713	-0.54141
5.8659	-0.45394	0.11715	-0.53615
5.9457	-0.55348	0.11709	-0.53353
6.0255	-0.55527	0.11709	-0.53357
6.1053	-0.5237	0.11711	-0.53628
6.1851	-0.47366	0.11714	-0.54168
6.2649	-0.50537	0.11712	-0.5498
